Khối,Tổ hợp môn
A00,"Toán, Vật lý, Hóa học"
A01,"Toán, Vật lý, Tiếng Anh"
A02,"Toán, Vật lý, Sinh học"
A03,"Toán, Vật lý, Lịch sử"
A04,"Toán, Vật lý, Địa lý"
A05,"Toán, Hóa học, Lịch sử"
A06,"Toán, Hóa học, Địa lý"
A07,"Toán, Lịch sử, Địa lý"
A08,"Toán, Lịch sử, GDCD"
B00,"Toán, Hóa học, Sinh học"
B01,"Toán, Sinh học, Lịch sử"
B02,"Toán, Sinh học, Địa lý"
B03,"Toán, Sinh học, Ngữ văn"
B04,"Toán, Sinh học, GDCD"
B08,"Toán, Sinh học, Tiếng Anh"
C00,"Ngữ văn, Lịch sử, Địa lý"
C01,"Ngữ văn, Toán, Vật lý"
C02,"Ngữ văn, Toán, Hóa học"
C03,"Ngữ văn, Toán, Lịch sử"
C04,"Ngữ văn, Toán, Địa lý"
C05,"Ngữ văn, Vật lý, Hóa học"
C06,"Ngữ văn, Vật lý, Sinh học"
C07,"Ngữ văn, Lịch sử, GDCD"
C08,"Ngữ văn, Hóa học, Sinh học"
D01,"Toán, Ngữ văn, Tiếng Anh"
D02,"Toán, Ngữ văn, Tiếng Nga"
D03,"Toán, Ngữ văn, Tiếng Pháp"
D04,"Toán, Ngữ văn, Tiếng Trung"
D05,"Toán, Ngữ văn, Tiếng Đức"
D06,"Toán, Ngữ văn, Tiếng Nhật"
D07,"Toán, Hóa học, Tiếng Anh"
D08,"Toán, Sinh học, Tiếng Anh"
D09,"Toán, Lịch sử, Tiếng Anh"
D10,"Toán, Địa lý, Tiếng Anh"
D14,"Ngữ văn, Lịch sử, Tiếng Anh"
D15,"Ngữ văn, Địa lý, Tiếng Anh"
D66,"Ngữ văn, GDCD, Tiếng Anh"
D84,"Toán, GDCD, Tiếng Anh"
